file_path,file_name,language,duration_sec,sample_rate,source
data\processed\english\f0004_us_f0004_00065.wav,f0004_us_f0004_00065.wav,english,3.104,16000,openslr
data\processed\english\m0005_us_m0005_00127.wav,m0005_us_m0005_00127.wav,english,3.68,16000,openslr
data\processed\tamil\taf_06958_01627639124.wav,taf_06958_01627639124.wav,tamil,3.744,16000,openslr
data\processed\tamil\taf_06478_01298281548.wav,taf_06478_01298281548.wav,tamil,6.368,16000,openslr
data\processed\english\f0001_us_f0001_00056.wav,f0001_us_f0001_00056.wav,english,3.552,16000,openslr
data\processed\hindi\0153_069.wav,0153_069.wav,hindi,3.456,16000,openslr
data\processed\malayalam\mlf_07754_00253375463.wav,mlf_07754_00253375463.wav,malayalam,3.808,16000,openslr
data\processed\english\f0004_us_f0004_00393.wav,f0004_us_f0004_00393.wav,english,3.872,16000,openslr
data\processed\hindi\0211_098.wav,0211_098.wav,hindi,4.272,16000,openslr
data\processed\english\f0005_us_f0005_00100.wav,f0005_us_f0005_00100.wav,english,4.672,16000,openslr
data\processed\tamil\taf_06478_01833734117.wav,taf_06478_01833734117.wav,tamil,5.856,16000,openslr
data\processed\kannada\knf_00001_01279672984.wav,knf_00001_01279672984.wav,kannada,4.768,16000,openslr
data\processed\english\f0005_us_f0005_00256.wav,f0005_us_f0005_00256.wav,english,4.128,16000,openslr
data\processed\tamil\taf_02345_01833486087.wav,taf_02345_01833486087.wav,tamil,4.256,16000,openslr
data\processed\english\m0001_us_m0001_00035.wav,m0001_us_m0001_00035.wav,english,4.192,16000,openslr
data\processed\english\m0003_us_m0003_00171.wav,m0003_us_m0003_00171.wav,english,3.808,16000,openslr
data\processed\malayalam\mlf_03182_00571347327.wav,mlf_03182_00571347327.wav,malayalam,5.472,16000,openslr
data\processed\english\f0005_us_f0005_00228.wav,f0005_us_f0005_00228.wav,english,3.168,16000,openslr
data\processed\english\m0003_us_m0003_00237.wav,m0003_us_m0003_00237.wav,english,8.096,16000,openslr
data\processed\malayalam\mlf_09549_00951011312.wav,mlf_09549_00951011312.wav,malayalam,3.872,16000,openslr
data\processed\english\m0001_us_m0001_00311.wav,m0001_us_m0001_00311.wav,english,4.0,16000,openslr
data\processed\tamil\taf_02330_00845794681.wav,taf_02330_00845794681.wav,tamil,5.504,16000,openslr
data\processed\hindi\0213_061.wav,0213_061.wav,hindi,4.22,16000,openslr
data\processed\english\f0005_us_f0005_00133.wav,f0005_us_f0005_00133.wav,english,3.392,16000,openslr
data\processed\malayalam\mlf_05401_00129610274.wav,mlf_05401_00129610274.wav,malayalam,4.224,16000,openslr
data\processed\malayalam\mlf_03435_01343017319.wav,mlf_03435_01343017319.wav,malayalam,6.656,16000,openslr
